epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,2049.77,0.84765,0.42275,0.00558,1e-05,0.95455,0.97242,0.98942,0.75607,0.85208,0.28628,0.00745,0,0.00108425,0.00108425,0.00108425
39,2102.59,0.86062,0.4579,0.00599,1e-05,0.96527,0.965,0.988,0.74978,0.83208,0.2974,0.00749,0,0.0010595,0.0010595,0.0010595
40,2155.33,0.81573,0.42335,0.0057,2e-05,0.96374,0.95833,0.98809,0.7535,0.846,0.30762,0.00752,1e-05,0.00103475,0.00103475,0.00103475
41,2208.07,0.82171,0.42017,0.00567,2e-05,0.95905,0.97222,0.99116,0.75456,0.84863,0.27703,0.00763,1e-05,0.00101,0.00101,0.00101
42,2260.67,0.83005,0.42029,0.00574,3e-05,0.96753,0.9658,0.99092,0.75206,0.83885,0.27606,0.00722,1e-05,0.00098525,0.00098525,0.00098525
43,2313.28,0.82633,0.42995,0.00577,1e-05,0.98563,0.94444,0.99026,0.76236,0.82104,0.28742,0.00727,0,0.0009605,0.0009605,0.0009605
44,2366.13,0.8233,0.45831,0.00592,1e-05,0.95935,0.98347,0.99111,0.76091,0.82732,0.28988,0.00726,2e-05,0.00093575,0.00093575,0.00093575
45,2418.86,0.8241,0.40949,0.00544,1e-05,0.97733,0.94444,0.97868,0.75329,0.83231,0.29533,0.00743,0,0.000911,0.000911,0.000911
46,2471.66,0.82953,0.38839,0.00575,1e-05,0.96943,0.95429,0.98998,0.7582,0.83834,0.28434,0.00758,0,0.00088625,0.00088625,0.00088625
47,2524.43,0.81103,0.41046,0.00549,1e-05,0.96769,0.97051,0.9915,0.76797,0.83533,0.27147,0.00746,0,0.0008615,0.0008615,0.0008615
48,2577.16,0.8092,0.37473,0.00557,1e-05,0.96948,0.95591,0.99057,0.7594,0.83818,0.27972,0.00735,0,0.00083675,0.00083675,0.00083675
49,2629.96,0.79491,0.39138,0.0054,1e-05,0.97043,0.98767,0.98964,0.74834,0.84862,0.25282,0.00732,0,0.000812,0.000812,0.000812
50,2682.64,0.79933,0.39969,0.00552,1e-05,0.9858,0.96418,0.99082,0.76039,0.83427,0.26235,0.00728,0,0.00078725,0.00078725,0.00078725
51,2735.55,0.802,0.38917,0.0054,1e-05,0.97136,0.97222,0.98637,0.75931,0.83047,0.26373,0.0072,0,0.0007625,0.0007625,0.0007625
52,2788.47,0.7888,0.37602,0.00544,0,0.97887,0.96065,0.99259,0.76215,0.82298,0.26088,0.00722,0,0.00073775,0.00073775,0.00073775
53,2841.13,0.76763,0.36957,0.00529,0,0.96889,0.97685,0.99185,0.76686,0.82285,0.26994,0.00711,1e-05,0.000713,0.000713,0.000713
54,2894.44,0.78119,0.37023,0.00536,0,0.98002,0.96991,0.99262,0.76099,0.82666,0.26962,0.00718,0,0.00068825,0.00068825,0.00068825
55,2947.03,0.77171,0.38667,0.00525,0,0.98126,0.96989,0.99149,0.75922,0.83624,0.2798,0.00714,0,0.0006635,0.0006635,0.0006635
56,2999.61,0.78583,0.40294,0.00572,0,0.98173,0.97222,0.99276,0.75248,0.83875,0.2541,0.00728,0,0.00063875,0.00063875,0.00063875
57,3052.23,0.76184,0.37096,0.00515,0,0.9811,0.96128,0.99167,0.7559,0.85125,0.26474,0.00729,0,0.000614,0.000614,0.000614
58,3104.97,0.78059,0.40517,0.00541,1e-05,0.98567,0.96065,0.99242,0.76837,0.81629,0.26561,0.0071,0,0.00058925,0.00058925,0.00058925
59,3157.88,0.75991,0.3768,0.00534,0,0.97903,0.9727,0.99303,0.76899,0.82928,0.25864,0.00731,0,0.0005645,0.0005645,0.0005645
60,3210.61,0.75436,0.37197,0.0052,1e-05,0.97495,0.96065,0.99226,0.75163,0.82936,0.2696,0.00717,0,0.00053975,0.00053975,0.00053975
61,3263.25,0.75116,0.37231,0.00506,1e-05,0.97442,0.97685,0.99313,0.7572,0.82279,0.26844,0.00703,0,0.000515,0.000515,0.000515
62,3315.93,0.75176,0.34683,0.00523,1e-05,0.9768,0.97482,0.99337,0.7628,0.82212,0.25892,0.00708,2e-05,0.00049025,0.00049025,0.00049025
63,3368.66,0.72401,0.34208,0.00488,2e-05,0.96366,0.98148,0.99278,0.76302,0.82961,0.26823,0.00702,1e-05,0.0004655,0.0004655,0.0004655
64,3421.18,0.73459,0.36713,0.00515,1e-05,0.99056,0.97144,0.99364,0.76482,0.81588,0.25392,0.00701,0,0.00044075,0.00044075,0.00044075
65,3473.91,0.72861,0.34345,0.00502,0,0.96755,0.98611,0.99364,0.76382,0.82331,0.25093,0.00709,0,0.000416,0.000416,0.000416
66,3526.41,0.71885,0.33838,0.0049,0,0.99055,0.971,0.99304,0.76395,0.82612,0.25527,0.0071,0,0.00039125,0.00039125,0.00039125
67,3578.95,0.73007,0.35927,0.00518,0,0.97434,0.99074,0.99372,0.76733,0.8188,0.24677,0.00698,0,0.0003665,0.0003665,0.0003665
68,3631.65,0.713,0.32574,0.00489,0,0.98581,0.97917,0.99367,0.76593,0.82269,0.24462,0.00702,0,0.00034175,0.00034175,0.00034175
69,3684.39,0.72749,0.35818,0.00514,0,0.97901,0.98611,0.99373,0.76618,0.84088,0.25346,0.00729,0,0.000317,0.000317,0.000317
