epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,6374.34,0.39258,0.23151,0.04284,0.03602,0.94238,0.93339,0.9602,0.89053,0.36976,0.32434,0.0527,0.06583,0.0005744,0.0005744,0.0005744
38,6545.95,0.39802,0.23484,0.0445,0.03815,0.94488,0.93236,0.96145,0.88984,0.37906,0.32615,0.05245,0.06714,0.0005348,0.0005348,0.0005348
39,6717.07,0.38954,0.22896,0.04285,0.03685,0.94115,0.93279,0.9581,0.88548,0.37837,0.34268,0.05141,0.06763,0.0004952,0.0004952,0.0004952
40,6887.59,0.38052,0.2223,0.04327,0.03434,0.94385,0.93506,0.95929,0.89652,0.35981,0.33706,0.053,0.06653,0.0004556,0.0004556,0.0004556
41,7070.46,0.29301,0.15528,0.04506,0.02947,0.94207,0.9331,0.95707,0.88874,0.36844,0.34729,0.05418,0.06772,0.000416,0.000416,0.000416
42,7240.01,0.29183,0.15152,0.04352,0.02892,0.93945,0.9349,0.95543,0.8841,0.37428,0.35436,0.05016,0.06707,0.0003764,0.0003764,0.0003764
43,7410.17,0.28318,0.14694,0.04328,0.02892,0.939,0.93099,0.95399,0.88125,0.37667,0.36879,0.05243,0.06772,0.0003368,0.0003368,0.0003368
44,7581.02,0.27608,0.14202,0.04319,0.02709,0.94065,0.92997,0.95226,0.88332,0.36896,0.36936,0.05222,0.06806,0.0002972,0.0002972,0.0002972
45,7751.32,0.27433,0.14054,0.04297,0.02664,0.94613,0.93508,0.96012,0.89168,0.37066,0.3309,0.05031,0.06733,0.0002576,0.0002576,0.0002576
46,7921.26,0.2688,0.13914,0.04271,0.02559,0.94863,0.93456,0.95994,0.89218,0.36498,0.32943,0.0514,0.06779,0.000218,0.000218,0.000218
47,8091.5,0.26449,0.1344,0.04301,0.02443,0.94496,0.94278,0.95859,0.89317,0.36171,0.33328,0.0517,0.06555,0.0001784,0.0001784,0.0001784
48,8261.62,0.26056,0.13365,0.04315,0.0242,0.94753,0.93952,0.95837,0.89241,0.35963,0.33589,0.05186,0.0666,0.0001388,0.0001388,0.0001388
49,8432.29,0.25896,0.13224,0.04267,0.02386,0.94741,0.94071,0.96546,0.89711,0.35324,0.32474,0.05014,0.06454,9.92e-05,9.92e-05,9.92e-05
50,8603.07,0.2553,0.13066,0.04249,0.02336,0.94818,0.94318,0.95932,0.89775,0.35466,0.32204,0.05021,0.0651,5.96e-05,5.96e-05,5.96e-05
